videoName,PhaseName,Start,End
RALIHR_surgeon01_fps01_0001,Access,---,---
RALIHR_surgeon01_fps01_0001,Stationary Idle1,00:00,00:16
RALIHR_surgeon01_fps01_0001,Transitionary Idle1,00:16,00:35
RALIHR_surgeon01_fps01_0001,Out of body,00:35,01:05
RALIHR_surgeon01_fps01_0001,Transitionary Idle2,01:05,01:59
RALIHR_surgeon01_fps01_0001,Peritoneal Scoring,01:59,02:55
RALIHR_surgeon01_fps01_0001,Preperioneal dissection,02:55,06:43
RALIHR_surgeon01_fps01_0001,Reduction of hernia,06:43,15:58
RALIHR_surgeon01_fps01_0001,Transitionary Idle3,15:58,16:05
RALIHR_surgeon01_fps01_0001,Stationary Idle2,16:05,17:24
RALIHR_surgeon01_fps01_0001,Transitionary Idle4,17:24,18:20
RALIHR_surgeon01_fps01_0001,Blurry,18:20,19:15
RALIHR_surgeon01_fps01_0001,Out of body1,19:15,20:40
RALIHR_surgeon01_fps01_0001,Positioning of suture1,20:40,21:03
RALIHR_surgeon01_fps01_0001,Mesh placement,21:03,23:49
RALIHR_surgeon01_fps01_0001,Transitionary Idle5,23:49,23:54
RALIHR_surgeon01_fps01_0001,Acquiring Suture,23:54,24:07
RALIHR_surgeon01_fps01_0001,Peritoneal closure1,24:07,24:14
RALIHR_surgeon01_fps01_0001,Transitionary Idle6,24:14,24:21
RALIHR_surgeon01_fps01_0001,Positioning of suture2,24:21,25:02
RALIHR_surgeon01_fps01_0001,Transitionary Idle7,25:02,25:05
RALIHR_surgeon01_fps01_0001,Peritoneal closure2,25:05,31:37
RALIHR_surgeon01_fps01_0001,Transitionary Idle8,31:37,32:45
RALIHR_surgeon01_fps01_0001,Out of body2,32:45,32:47
RALIHR_surgeon01_fps01_0002,Access,---,---
RALIHR_surgeon01_fps01_0002,Stationary Idle1,00:00,00:16
RALIHR_surgeon01_fps01_0002,Transitionary Idle1,00:16,01:09
RALIHR_surgeon01_fps01_0002,Peritoneal Scoring1,01:09,01:26
RALIHR_surgeon01_fps01_0002,Preperitoneal dissection1,01:26,03:20
RALIHR_surgeon01_fps01_0002,Reduction of Hernia1,03:20,11:46
RALIHR_surgeon01_fps01_0002,Transitionary Idle2,11:46,12:02
RALIHR_surgeon01_fps01_0002,Peritoneal Scoring2,12:02,12:13
RALIHR_surgeon01_fps01_0002,Preperitoneal dissection2,12:13,16:20
RALIHR_surgeon01_fps01_0002,Reduction of Hernia2,16:20,19:46
RALIHR_surgeon01_fps01_0002,Transitionary Idle3,19:46,19:50
RALIHR_surgeon01_fps01_0002,Out of Body1,19:50,19:54
RALIHR_surgeon01_fps01_0002,Transitionary Idle4,19:54,20:15
RALIHR_surgeon01_fps01_0002,Stationary Idle2,20:15,20:38
RALIHR_surgeon01_fps01_0002,Transitionary Idle5,20:38,20:39
RALIHR_surgeon01_fps01_0002,Stationary Idle3,20:39,23:21
RALIHR_surgeon01_fps01_0002,Transitionary Idle6,23:21,23:43
RALIHR_surgeon01_fps01_0002,Mesh positioning1,23:43,24:04
RALIHR_surgeon01_fps01_0002,Transitionary Idle7,24:04,24:30
RALIHR_surgeon01_fps01_0002,Mesh positioning2,24:30,25:05
RALIHR_surgeon01_fps01_0002,Transitionary Idle8,25:05,25:15
RALIHR_surgeon01_fps01_0002,Positioning suture2,25:15,27:38
RALIHR_surgeon01_fps01_0002,Transitionary Idle9,27:38,27:53
RALIHR_surgeon01_fps01_0002,Mesh placement1,27:53,37:15
RALIHR_surgeon01_fps01_0002,Transitionary Idle10,37:15,37:19
RALIHR_surgeon01_fps01_0002,Positioning Suture1,37:19,37:48
RALIHR_surgeon01_fps01_0002,Direct hernia repair,37:48,40:15
RALIHR_surgeon01_fps01_0002,Positioning Suture3,40:15,40:33
RALIHR_surgeon01_fps01_0002,Transitionary Idle11,40:33,40:44
RALIHR_surgeon01_fps01_0002,Mesh Placement2,40:44,41:34
RALIHR_surgeon01_fps01_0002,Transitionary Idle12,41:34,42:32
RALIHR_surgeon01_fps01_0002,Catheter insertion,42:32,43:14
RALIHR_surgeon01_fps01_0002,Transitionary Idle13,43:14,43:19
RALIHR_surgeon01_fps01_0002,Positioning Suture4,43:19,43:27
RALIHR_surgeon01_fps01_0002,Peritoneal closure1,43:27,47:02
RALIHR_surgeon01_fps01_0002,Positioning Suture5,47:02,47:38
RALIHR_surgeon01_fps01_0002,Peritoneal closure2,47:38,51:19
RALIHR_surgeon01_fps01_0002,Positioning suture6,51:19,52:37
RALIHR_surgeon01_fps01_0002,Transitionary Idle14,52:37,53:07
RALIHR_surgeon01_fps01_0002,Out of Body2,53:07,53:18
RALIHR_surgeon01_fps01_0003,Access,---,---
RALIHR_surgeon01_fps01_0003,Transitionary Idle1,00:00,00:04
RALIHR_surgeon01_fps01_0003,Positioning suture1,00:04,00:46
RALIHR_surgeon01_fps01_0003,Transitionary Idle2,00:46,00:55
RALIHR_surgeon01_fps01_0003,Mesh positioning1,00:55,01:28
RALIHR_surgeon01_fps01_0003,Peritoneal scoring1,01:28,02:20
RALIHR_surgeon01_fps01_0003,Preperitoneal dissection1,02:20,04:42
RALIHR_surgeon01_fps01_0003,Reduction of Hernia1,04:42,09:14
RALIHR_surgeon01_fps01_0003,Transitionary idle3,09:14,09:20
RALIHR_surgeon01_fps01_0003,Mesh placement1,09:20,09:47
RALIHR_surgeon01_fps01_0003,Transitionary Idle4,09:47,10:01
RALIHR_surgeon01_fps01_0003,Peritoneal scoring2,10:01,10:45
RALIHR_surgeon01_fps01_0003,Preperitoneal dissection2,10:45,13:49
RALIHR_surgeon01_fps01_0003,Reduction of Hernia2,13:49,16:12
RALIHR_surgeon01_fps01_0003,Transitionary Idle5,16:12,16:15
RALIHR_surgeon01_fps01_0003,Mesh placement2,16:15,20:20
RALIHR_surgeon01_fps01_0003,Transitionary Idle6,20:20,20:26
RALIHR_surgeon01_fps01_0003,Mesh placement3,20:26,23:16
RALIHR_surgeon01_fps01_0003,Transitionary Idle7,23:16,23:27
RALIHR_surgeon01_fps01_0003,Positioning suture2,23:27,23:39
RALIHR_surgeon01_fps01_0003,Peritoneal closure1,23:39,23:59
RALIHR_surgeon01_fps01_0003,Transitionary Idle8,23:59,24:18
RALIHR_surgeon01_fps01_0003,Catheter insertion,24:18,25:03
RALIHR_surgeon01_fps01_0003,Transitionary Idle9,25:03,25:28
RALIHR_surgeon01_fps01_0003,Positioning suture,25:28,25:29
RALIHR_surgeon01_fps01_0003,Peritoneal closure2,25:29,25:40
RALIHR_surgeon01_fps01_0004,Mesh placement,00:00,01:14
RALIHR_surgeon01_fps01_0004,Transitionary Idle1,01:14,01:24
RALIHR_surgeon01_fps01_0004,Positioning suture1,01:24,01:32
RALIHR_surgeon01_fps01_0004,Transitionary Idle2,01:32,01:40
RALIHR_surgeon01_fps01_0004,Stationary Idle1,01:40,01:59
RALIHR_surgeon01_fps01_0004,Transitionary Idle3,01:59,02:42
RALIHR_surgeon01_fps01_0004,Catheter insertion,02:42,03:35
RALIHR_surgeon01_fps01_0004,Transitionary Idle4,03:35,03:44
RALIHR_surgeon01_fps01_0004,Positioning suture2,03:44,03:52
RALIHR_surgeon01_fps01_0004,Peritoneal closure,03:52,08:43
RALIHR_surgeon01_fps01_0004,Positioning suture3,08:43,09:39
RALIHR_surgeon01_fps01_0004,Stationary Idle2,09:39,09:59
RALIHR_surgeon01_fps01_0005,Transitionary Idle1,00:00,00:20
RALIHR_surgeon01_fps01_0005,Peritoneal scoring1,00:20,01:09
RALIHR_surgeon01_fps01_0005,Preperitoneal dissection1,01:09,04:37
RALIHR_surgeon01_fps01_0005,Reduction of hernia1,04:37,09:04
RALIHR_surgeon01_fps01_0005,Transitionary Idle2,09:04,09:18
RALIHR_surgeon01_fps01_0005,Peritoneal scoring2,09:18,09:52
RALIHR_surgeon01_fps01_0005,Preperitoneal dissection2,09:52,16:39
RALIHR_surgeon01_fps01_0005,Reduction of hernia2,16:39,18:09
RALIHR_surgeon01_fps01_0005,Transitionary Idle3,18:09,18:19
RALIHR_surgeon01_fps01_0005,Reduction of hernia3,18:19,23:07
RALIHR_surgeon01_fps01_0005,Transitionary Idle4,23:07,23:20
RALIHR_surgeon01_fps01_0005,Mesh positioning1,23:20,23:48
RALIHR_surgeon01_fps01_0005,Transitionary Idle5,23:48,23:57
RALIHR_surgeon01_fps01_0005,Stationary Idle1,23:57,24:05
RALIHR_surgeon01_fps01_0005,Transitionary Idle6,24:05,24:07
RALIHR_surgeon01_fps01_0005,Stationary Idle2,24:07,24:39
RALIHR_surgeon01_fps01_0005,Positioning Suture1,24:39,25:16
RALIHR_surgeon01_fps01_0005,Transitionary Idle7,25:16,25:28
RALIHR_surgeon01_fps01_0005,Stationary Idle3,25:28,26:05
RALIHR_surgeon01_fps01_0005,Transitionary Idle8,26:05,26:14
RALIHR_surgeon01_fps01_0005,Mesh placement1,26:14,29:00
RALIHR_surgeon01_fps01_0005,Transitionary Idle9,29:00,29:13
RALIHR_surgeon01_fps01_0005,Mesh placement2,29:13,32:45
RALIHR_surgeon01_fps01_0005,Transitionary Idle10,32:45,33:22
RALIHR_surgeon01_fps01_0005,Catheter Insertion,33:22,34:11
RALIHR_surgeon01_fps01_0005,Transitionary Idle11,34:11,34:15
RALIHR_surgeon01_fps01_0005,Positioning Suture2,34:15,34:22
RALIHR_surgeon01_fps01_0005,Peritoneal closure1,34:22,37:45
RALIHR_surgeon01_fps01_0005,Transitionary Idle12,37:45,37:52
RALIHR_surgeon01_fps01_0005,Positioning Suture3,37:52,38:11
RALIHR_surgeon01_fps01_0005,Peritoneal closure2,38:11,41:22
RALIHR_surgeon01_fps01_0005,Transitionary Idle13,41:22,42:14
RALIHR_surgeon01_fps01_0005,Peritoneal closure3,42:14,42:43
RALIHR_surgeon01_fps01_0005,Positioning Suture4,42:43,42:47
RALIHR_surgeon01_fps01_0005,Peritoneal closure4,42:47,44:32
RALIHR_surgeon01_fps01_0005,Positioning Suture5,44:32,44:40
RALIHR_surgeon01_fps01_0005,Transitionary Idle14,44:40,44:46
RALIHR_surgeon01_fps01_0005,Peritoneal closure5,44:46,44:49
RALIHR_surgeon01_fps01_0005,Positioning Suture6,44:49,45:27
RALIHR_surgeon01_fps01_0005,Transitionary Idle15,45:27,45:31
RALIHR_surgeon01_fps01_0005,Positioning Suture7,45:31,45:48
RALIHR_surgeon01_fps01_0005,Mesh positioning2,45:48,46:54
RALIHR_surgeon01_fps01_0005,Transitionary Idle16,46:54,47:13
RALIHR_surgeon01_fps01_0006,Peritoneal closure1,00:00,00:23
RALIHR_surgeon01_fps01_0006,Transitionary Idle1,00:23,00:57
RALIHR_surgeon01_fps01_0006,Catheter insertion,00:57,01:38
RALIHR_surgeon01_fps01_0006,Transitionary Idle2,01:38,01:47
RALIHR_surgeon01_fps01_0006,Peritoneal closure2,01:47,04:01
RALIHR_surgeon01_fps01_0006,Suture Positioning1,04:01,04:11
RALIHR_surgeon01_fps01_0006,Peritoneal closure3,04:11,05:33
RALIHR_surgeon01_fps01_0006,Suture Positioning2,05:33,06:07
RALIHR_surgeon01_fps01_0006,Peritoneal closure4,06:07,09:26
RALIHR_surgeon01_fps01_0006,Suture Positioning3,09:26,09:35
